vehicle_id,shape_collider,length,width
92439,passenger,5,1.8
92441,delivery,6.5,2.16
92443,bus,12,2.5
92444,delivery,6.5,2.16
92445,delivery,6.5,2.16
92446,delivery,6.5,2.16
92447,bus,12,2.5
92448,delivery,6.5,2.16
92449,delivery,6.5,2.16
92450,passenger,5,1.8
92451,delivery,6.5,2.16
92452,passenger,5,1.8
92453,passenger,5,1.8
92454,passenger,5,1.8
92455,delivery,6.5,2.16
92456,passenger,5,1.8
92457,delivery,6.5,2.16
92459,delivery,6.5,2.16
92460,passenger,5,1.8
92461,passenger,5,1.8
92462,passenger,5,1.8
92463,motorcycle,2.2,0.9
92464,bus,12,2.5
92466,delivery,6.5,2.16
92467,motorcycle,2.2,0.9
92468,passenger,5,1.8
92469,passenger,5,1.8
92470,delivery,6.5,2.16
92471,passenger,5,1.8
92472,delivery,6.5,2.16
92473,delivery,6.5,2.16
92474,delivery,6.5,2.16
92475,passenger,5,1.8
92476,passenger,5,1.8
92477,passenger,5,1.8
92478,passenger,5,1.8
92480,delivery,6.5,2.16
92482,delivery,6.5,2.16
92483,passenger,5,1.8
92484,delivery,6.5,2.16
92485,delivery,6.5,2.16
92486,delivery,6.5,2.16
92487,moped,2.1,0.8
92488,passenger,5,1.8
92489,delivery,6.5,2.16
92490,delivery,6.5,2.16
92491,passenger,5,1.8
92493,passenger,5,1.8
92494,delivery,6.5,2.16
92495,moped,2.1,0.8
92496,moped,2.1,0.8
92497,motorcycle,2.2,0.9
92498,passenger,5,1.8
92499,passenger,5,1.8
92502,passenger,5,1.8
92503,passenger,5,1.8
92504,passenger,5,1.8
92505,motorcycle,2.2,0.9
92506,delivery,6.5,2.16
92507,moped,2.1,0.8
92508,passenger,5,1.8
92509,delivery,6.5,2.16
92510,passenger,5,1.8
92511,delivery,6.5,2.16
92512,delivery,6.5,2.16
92513,delivery,6.5,2.16
92514,passenger,5,1.8
92515,moped,2.1,0.8
92516,delivery,6.5,2.16
92517,passenger,5,1.8
92518,passenger,5,1.8
92519,delivery,6.5,2.16
92520,bus,12,2.5
92521,moped,2.1,0.8
92523,delivery,6.5,2.16
92524,passenger,5,1.8
92525,bus,12,2.5
92526,moped,2.1,0.8
92528,delivery,6.5,2.16
92530,motorcycle,2.2,0.9
92531,delivery,6.5,2.16
92533,delivery,6.5,2.16
92534,bus,12,2.5
92536,motorcycle,2.2,0.9
92537,passenger,5,1.8
92538,delivery,6.5,2.16
92539,passenger,5,1.8
92540,delivery,6.5,2.16
92541,motorcycle,2.2,0.9
92542,passenger,5,1.8
92543,passenger,5,1.8
92544,delivery,6.5,2.16
92545,delivery,6.5,2.16
92546,delivery,6.5,2.16
92547,passenger,5,1.8
92549,delivery,6.5,2.16
92550,moped,2.1,0.8
92551,delivery,6.5,2.16
92553,passenger,5,1.8
92554,moped,2.1,0.8
92555,passenger,5,1.8
92556,moped,2.1,0.8
92557,passenger,5,1.8
92558,passenger,5,1.8
92559,delivery,6.5,2.16
92560,delivery,6.5,2.16
92562,moped,2.1,0.8
92563,delivery,6.5,2.16
92564,delivery,6.5,2.16
92565,passenger,5,1.8
92566,delivery,6.5,2.16
92567,delivery,6.5,2.16
92568,delivery,6.5,2.16
92570,delivery,6.5,2.16
92571,moped,2.1,0.8
92572,moped,2.1,0.8
92573,delivery,6.5,2.16
92574,bus,12,2.5
92575,passenger,5,1.8
92577,passenger,5,1.8
92579,delivery,6.5,2.16
92580,delivery,6.5,2.16
92582,passenger,5,1.8
92583,delivery,6.5,2.16
92584,bus,12,2.5
92585,passenger,5,1.8
92586,delivery,6.5,2.16
92587,delivery,6.5,2.16
92588,moped,2.1,0.8
92589,bus,12,2.5
92590,delivery,6.5,2.16
92592,delivery,6.5,2.16
92593,delivery,6.5,2.16
92594,delivery,6.5,2.16
92595,passenger,5,1.8
92596,passenger,5,1.8
92597,passenger,5,1.8
92598,delivery,6.5,2.16
92599,delivery,6.5,2.16
92600,passenger,5,1.8
92602,delivery,6.5,2.16
92603,moped,2.1,0.8
92604,passenger,5,1.8
92605,moped,2.1,0.8
92606,passenger,5,1.8
92607,passenger,5,1.8
92608,passenger,5,1.8
92609,delivery,6.5,2.16
92610,passenger,5,1.8
92612,delivery,6.5,2.16
92613,delivery,6.5,2.16
92614,passenger,5,1.8
92615,passenger,5,1.8
92616,motorcycle,2.2,0.9
92617,delivery,6.5,2.16
92619,delivery,6.5,2.16
92620,motorcycle,2.2,0.9
92621,passenger,5,1.8
92622,motorcycle,2.2,0.9
92623,delivery,6.5,2.16
92624,passenger,5,1.8
92625,delivery,6.5,2.16
92626,delivery,6.5,2.16
92627,passenger,5,1.8
92628,bus,12,2.5
92629,motorcycle,2.2,0.9
92630,delivery,6.5,2.16
92631,passenger,5,1.8
92632,passenger,5,1.8
92633,motorcycle,2.2,0.9
92634,moped,2.1,0.8
92635,passenger,5,1.8
92637,motorcycle,2.2,0.9
92638,delivery,6.5,2.16
92639,motorcycle,2.2,0.9
92640,motorcycle,2.2,0.9
92642,passenger,5,1.8
92643,delivery,6.5,2.16
92645,moped,2.1,0.8
92646,delivery,6.5,2.16
92647,delivery,6.5,2.16
